IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
19941;Anna;Hermannova;CZE;1365;377;1;377.0
33147;Evgeniya;Kremena;RUS;1365;377;1;377.0
33884;Petra;Snizkova;CZE;1367;374;1;374.0
3623;Indre;Beliune;LTU;1368;373;2;186.5
33076;Laurine;Herman;BEL;1368;373;1;373.0
19093;Esko;Jalanto;FIN;1370;371;1;371.0
25453;Olga;Stanojevic;SRB;1370;371;3;123.7
33897;Cecile;Calandry;FRA;1372;370;1;370.0
34274;Anastasiia;Pesegova;RUS;1373;369;1;369.0
21706;Helena;Lima;POR;1374;368;1;368.0
4130;Mace;Neve;AUS;1375;364;1;364.0
19908;Triinu;Rooni;EST;1376;363;1;363.0
20124;Qianqian;Xiao;CHN;1376;363;2;181.5
856;Ainsley;Scott;AUS;1378;362;1;362.0
3194;Eliska;Kuncova;CZE;1378;362;1;362.0
20029;Rugiada;De Vallier;ITA;1378;362;3;120.7
28187;Heidi;Mikkola;FIN;1378;362;1;362.0
4303;Liliana;Oliveira;POR;1382;361;4;90.3
34053;Dorottya;Bartha;ROU;1382;361;1;361.0
1657;Sara Di;Furia;ITA;1384;359;2;179.5
21753;Mai Elin;Watson;NOR;1384;359;1;359.0
28186;Sanni;Marttinen;FIN;1384;359;1;359.0
27487;Katsiaryna;Berdova;BLR;1387;358;1;358.0
21493;Migle;Susinskaite;LTU;1388;356;1;356.0
28381;Magda;Cigle;LAT;1388;356;1;356.0
20247;Mckenzie;Hudgins;USA;1390;355;1;355.0
27983;Milica;Bilic;SRB;1390;355;3;118.3
24076;Emer;Perkins;IRL;1392;354;1;354.0
32908;Emilie;Westin;NOR;1393;353;2;176.5
34573;Helena;Polaskova Menard;CZE;1393;353;1;353.0
1350;Helen;Elkington;GBR;1395;352;1;352.0
33488;Marikki;Nygard;FIN;1396;350;1;350.0
2441;Marit;Isachsen;NOR;1397;347;1;347.0
21458;Vilma;Alberinga;LAT;1397;347;1;347.0
20230;Busra;Muslu;TUR;1399;343;1;343.0
33201;Karina;Shpakouskaya;BLR;1399;343;1;343.0
19710;Lotta;Haavisto;FIN;1401;341;1;341.0
36555;Irina;Biniuk;UKR;1401;341;2;170.5
3751;Michela;Marzolini;ITA;1403;340;2;170.0
